Prize name,Value, Each line is a prize tier.
TV Pkg 1,750,0
TV Pkg 2,500,0
TV1,250,0,Roomba,250,0
Cash 150,150,0,Cash 150,150,0
Cash 125,125,0,Cash 125,125,0
Free Play 80,80,0,Free Play 80,80,0,Cash 80,80,0,Cash 80,80,0
Cash 25,25,0,Cash 25,25,0,Cash 25,25,0,Cash 25,25,0,Cash 25,25,0,Cash 25,25,0,Cash 25,25,0,Cash 25,25,0,Cash 25,25,0,Cash 25,25,0,Cash 25,25,0
Cash 15,15,0
